"NumTag","L1","L2","L3","L4","L5","L6","L7","L8","ValueType","Multiplicity","ValueList","Editable","Searchable","DefaultValue","Expert","Notes"
"0000, 0035",,,,"VmeRootURI",,,,,"URI",1,,"n","n",,"Testi","URI of the original MSF file"
"0000, 0036",,,,"VmeRootName",,,,,"tag",1,,"n","n",,"Testi","Name of the original MSF file"
"0000, 0037",,,,"VmeChildURI1",,,,,"URI","n",,"n","n",,"Testi","list of the URI of each Child Vme"
"0000, 0038",,,,"VmeTreeCreationDate",,,,,"tag",1,,"n","n",,"Testi","Tree creation date"
"0000, 0039",,,"Attributes",,,,,,"tag",1,,"n","n",,"Viceconti","Info on the dataset attributes"
"0000, 0040",,,,"OwnerAttributes",,,,,"tag",1,,"n","n",,"Viceconti","attributes relative to the subject source of data"
"0000, 0041",,,,,"OwnerID",,,,"string",1,,"n","y",,"Testi","LHDL ID of the resource owner"
"0000, 0042",,,,"SubjectAttributes",,,,,"tag",1,,"y","y",,"Viceconti","attributes relative to the subject source of data"
"0000, 0043",,,,,"LocalSubjectID",,,,"string",1,,"y","y","if DicomSource, -> 0002, 0007","Viceconti","ID of the subject used in the local institution"
"0000, 0044",,,,,"SubjectGender",,,,"list",2,"male, female","y","y","if DicomSource -> 0002, 0008","Viceconti","Gender of the subject"
