"NumTag","L1","L2","L3","L4","L5","L6","L7","L8","ValueType","Multiplicity","ValueList","Editable","Searchable","DefaultValue","Expert","Notes"
"0000, 0035",,,,"QualityScore1",,,,,"tag","n <= 3",,"n","n",,"Viceconti","We cannot allow more than three scores for each data resource"
"0000, 0036",,,,,"URL",,,,"URI",1,,"n","n",,"Viceconti","QA service URI"
"0000, 0037",,,,,"Score",,,,"integer",1,,"n","y",,"Viceconti","Resulting score for that data resource range 1-10"
"0000, 0038",,,,,"ScoreDate",,,,"date",1,,"n","n",,"Viceconti","date of last evaluation"
"0000, 0039",,,"Source",,,,,,"tag",1,,"n","y",,"Viceconti","sub-ontologies specific to the type of source that produced the data"
"0000, 0040",,,,"DicomSource",,,,,"URI",1,"$HOME/DicomSource","y","n",,"Viceconti","URI of the DICOM source sub-ontology"
"0000, 0041",,,,"MASource",,,,,"URI",1,"$HOME/MASource","y","n",,"Viceconti","URI of the Motion Analysis source sub-ontology"
"0000, 0042",,,"Representation",,,,,,"tag",1,,"n","n",,"Viceconti","Each data resource provides a representation of a certain type of subject"
"0000, 0043",,,,"Subject",,,,,"tag",1,,"n","n",,"Viceconti","who/what is represented"
"0000, 0044",,,,,"SubjectStatus",,,,"tag",1,,"n","n",,"Viceconti","information on the subject that depends on time and space"
